,decayLength,depletion,RgRatio,phosRatio
0,10.0,0.0,1.3671,0.0056711
1,20.0,0.0,1.3329,0.043841
2,30.0,0.0,1.3358,0.097928
3,40.0,0.0,1.329,0.13883
4,50.0,0.0,1.2909,0.18379
5,60.0,0.0,1.257,0.26241
6,70.0,0.0,1.2224,0.31277
7,80.0,0.0,1.2046,0.37008
8,90.0,0.0,1.1914,0.38462
9,100.0,0.0,1.1282,0.40039
10,110.0,0.0,1.1079,0.49505
11,120.0,0.0,1.1291,0.46228
12,130.0,0.0,1.0693,0.58621
13,140.0,0.0,1.0571,0.6087
14,150.0,0.0,1.0552,0.65971
15,160.0,0.0,1.0378,0.6582
16,170.0,0.0,1.0326,0.6992
17,180.0,0.0,1.0258,0.76087
18,190.0,0.0,1.019,0.76735
19,200.0,0.0,1.0223,0.78033
20,10.0,10.0,1.5,0.0
21,20.0,10.0,1.394,0.030132
22,30.0,10.0,1.3865,0.059055
23,40.0,10.0,1.3276,0.086538
24,50.0,10.0,1.2837,0.19335
25,60.0,10.0,1.2804,0.18919
26,70.0,10.0,1.2637,0.24792
27,80.0,10.0,1.2045,0.2834
28,90.0,10.0,1.1625,0.36025
29,100.0,10.0,1.1734,0.36791
30,110.0,10.0,1.1404,0.47465
31,120.0,10.0,1.1139,0.46828
32,130.0,10.0,1.1024,0.47148
33,140.0,10.0,1.063,0.54753
34,150.0,10.0,1.0704,0.57263
35,160.0,10.0,1.0299,0.60911
36,170.0,10.0,1.01,0.72868
37,180.0,10.0,1.0196,0.72937
38,190.0,10.0,1.0127,0.76673
39,200.0,10.0,1.0016,0.75198
40,10.0,20.0,1.5,0.0
41,20.0,20.0,1.3946,0.014085
42,30.0,20.0,1.3764,0.039063
43,40.0,20.0,1.3469,0.070423
44,50.0,20.0,1.3604,0.08413
45,60.0,20.0,1.3224,0.14747
46,70.0,20.0,1.2745,0.21384
47,80.0,20.0,1.2099,0.26638
48,90.0,20.0,1.1746,0.30196
49,100.0,20.0,1.1557,0.37882
50,110.0,20.0,1.1109,0.501
51,120.0,20.0,1.0956,0.45102
52,130.0,20.0,1.0775,0.50269
53,140.0,20.0,1.0815,0.52323
54,150.0,20.0,1.0485,0.61044
55,160.0,20.0,1.0175,0.70588
56,170.0,20.0,1.0234,0.6284
57,180.0,20.0,1.0105,0.72628
58,190.0,20.0,1.0297,0.72912
59,200.0,20.0,1.0243,0.72098
60,10.0,30.0,1.5,0.0
61,20.0,30.0,1.5,0.0
62,30.0,30.0,1.365,0.01938
63,40.0,30.0,1.329,0.075397
64,50.0,30.0,1.3517,0.10387
65,60.0,30.0,1.2689,0.1499
66,70.0,30.0,1.2695,0.17282
67,80.0,30.0,1.2438,0.22305
68,90.0,30.0,1.213,0.26369
69,100.0,30.0,1.194,0.3248
70,110.0,30.0,1.1365,0.39148
71,120.0,30.0,1.1509,0.38095
72,130.0,30.0,1.0833,0.508
73,140.0,30.0,1.0619,0.56346
74,150.0,30.0,1.0571,0.58384
75,160.0,30.0,1.0483,0.59528
76,170.0,30.0,1.0319,0.67179
77,180.0,30.0,1.0257,0.69025
78,190.0,30.0,1.0255,0.69455
79,200.0,30.0,1.0081,0.73333
80,10.0,40.0,1.5,0.0
81,20.0,40.0,1.5,0.0
82,30.0,40.0,1.387,0.0055762
83,40.0,40.0,1.301,0.036437
84,50.0,40.0,1.3635,0.034068
85,60.0,40.0,1.2845,0.095331
86,70.0,40.0,1.2599,0.14751
87,80.0,40.0,1.2553,0.20583
88,90.0,40.0,1.2228,0.2191
89,100.0,40.0,1.1868,0.32689
90,110.0,40.0,1.1702,0.37449
91,120.0,40.0,1.1292,0.46614
92,130.0,40.0,1.1045,0.43863
93,140.0,40.0,1.0668,0.56304
94,150.0,40.0,1.0328,0.63825
95,160.0,40.0,1.0515,0.61024
96,170.0,40.0,1.0434,0.6237
97,180.0,40.0,1.023,0.70079
98,190.0,40.0,1.0253,0.68347
99,200.0,40.0,1.0214,0.72222
100,10.0,50.0,1.5,0.0
101,20.0,50.0,1.5,0.0
102,30.0,50.0,1.3775,0.0020408
103,40.0,50.0,1.3558,0.025896
104,50.0,50.0,1.3546,0.035857
105,60.0,50.0,1.3427,0.074844
106,70.0,50.0,1.2731,0.11546
107,80.0,50.0,1.2565,0.20263
108,90.0,50.0,1.2233,0.26535
109,100.0,50.0,1.2284,0.29339
110,110.0,50.0,1.1566,0.41
111,120.0,50.0,1.1159,0.43446
112,130.0,50.0,1.0925,0.50491
113,140.0,50.0,1.0908,0.5098
114,150.0,50.0,1.0593,0.5729
115,160.0,50.0,1.053,0.61771
116,170.0,50.0,1.0349,0.65882
117,180.0,50.0,1.0274,0.70716
118,190.0,50.0,1.0298,0.67717
119,200.0,50.0,1.009,0.72538
120,10.0,60.0,1.5,0.0
121,20.0,60.0,1.5,0.0
122,30.0,60.0,1.5,0.0
123,40.0,60.0,1.375,0.0098814
124,50.0,60.0,1.3786,0.040619
125,60.0,60.0,1.2945,0.072187
126,70.0,60.0,1.2969,0.11696
127,80.0,60.0,1.2522,0.18219
128,90.0,60.0,1.2481,0.17578
129,100.0,60.0,1.1963,0.28231
130,110.0,60.0,1.178,0.2956
131,120.0,60.0,1.1186,0.39148
132,130.0,60.0,1.0795,0.54095
133,140.0,60.0,1.0683,0.49903
134,150.0,60.0,1.0627,0.55796
135,160.0,60.0,1.0478,0.57934
136,170.0,60.0,1.0166,0.6986
137,180.0,60.0,1.0372,0.59443
138,190.0,60.0,1.0154,0.70398
139,200.0,60.0,1.0128,0.69278
140,10.0,70.0,1.5,0.0
141,20.0,70.0,1.5,0.0
142,30.0,70.0,1.5,0.0
143,40.0,70.0,1.4128,0.0020284
144,50.0,70.0,1.3556,0.008316
145,60.0,70.0,1.324,0.070342
146,70.0,70.0,1.3274,0.09434
147,80.0,70.0,1.2779,0.14087
148,90.0,70.0,1.2882,0.13733
149,100.0,70.0,1.2241,0.25
150,110.0,70.0,1.1829,0.27495
151,120.0,70.0,1.1293,0.39105
152,130.0,70.0,1.106,0.45992
153,140.0,70.0,1.0866,0.5144
154,150.0,70.0,1.0761,0.49467
155,160.0,70.0,1.0439,0.65289
156,170.0,70.0,1.0243,0.65107
157,180.0,70.0,1.0044,0.69245
158,190.0,70.0,1.0112,0.66333
159,200.0,70.0,1.0154,0.66414
160,10.0,80.0,1.5,0.0
161,20.0,80.0,1.5,0.0
162,30.0,80.0,1.5,0.0
163,40.0,80.0,1.5,0.0
164,50.0,80.0,1.3578,0.0089928
165,60.0,80.0,1.3471,0.048077
166,70.0,80.0,1.3242,0.056285
167,80.0,80.0,1.2397,0.14286
168,90.0,80.0,1.268,0.15129
169,100.0,80.0,1.241,0.19323
170,110.0,80.0,1.2153,0.26779
171,120.0,80.0,1.1419,0.31478
172,130.0,80.0,1.133,0.408
173,140.0,80.0,1.0877,0.45684
174,150.0,80.0,1.0653,0.51546
175,160.0,80.0,1.0508,0.57202
176,170.0,80.0,1.0519,0.60976
177,180.0,80.0,1.0269,0.62402
178,190.0,80.0,1.026,0.65558
179,200.0,80.0,1.0031,0.67617
180,10.0,90.0,1.5,0.0
181,20.0,90.0,1.5,0.0
182,30.0,90.0,1.5,0.0
183,40.0,90.0,1.5,0.0
184,50.0,90.0,1.3863,0.007984
185,60.0,90.0,1.3128,0.031683
186,70.0,90.0,1.3289,0.073559
187,80.0,90.0,1.2916,0.11832
188,90.0,90.0,1.2463,0.12806
189,100.0,90.0,1.272,0.14095
190,110.0,90.0,1.2105,0.26376
191,120.0,90.0,1.1561,0.32427
192,130.0,90.0,1.117,0.36134
193,140.0,90.0,1.1034,0.41929
194,150.0,90.0,1.0883,0.51969
195,160.0,90.0,1.0595,0.58246
196,170.0,90.0,1.0304,0.60314
197,180.0,90.0,1.027,0.61569
198,190.0,90.0,1.0257,0.64899
199,200.0,90.0,1.0156,0.73962
200,10.0,100.0,1.5,0.0
201,20.0,100.0,1.5,0.0
202,30.0,100.0,1.5,0.0
203,40.0,100.0,1.5,0.0
204,50.0,100.0,1.249,0.0020492
205,60.0,100.0,1.3814,0.026971
206,70.0,100.0,1.3529,0.061311
207,80.0,100.0,1.2801,0.081481
208,90.0,100.0,1.2755,0.13553
209,100.0,100.0,1.2422,0.22178
210,110.0,100.0,1.2208,0.1917
211,120.0,100.0,1.2005,0.24288
212,130.0,100.0,1.1469,0.39718
213,140.0,100.0,1.116,0.42659
214,150.0,100.0,1.0846,0.47137
215,160.0,100.0,1.0541,0.56051
216,170.0,100.0,1.0395,0.5767
217,180.0,100.0,1.03,0.6308
218,190.0,100.0,1.0164,0.66937
219,200.0,100.0,1.0311,0.65517
220,10.0,110.0,1.5,0.0
221,20.0,110.0,1.5,0.0
222,30.0,110.0,1.5,0.0
223,40.0,110.0,1.5,0.0
224,50.0,110.0,1.4042,0.004158
225,60.0,110.0,1.3788,0.0038986
226,70.0,110.0,1.3595,0.01711
227,80.0,110.0,1.3106,0.045817
228,90.0,110.0,1.2985,0.086614
229,100.0,110.0,1.2639,0.19612
230,110.0,110.0,1.2415,0.19763
231,120.0,110.0,1.2117,0.25296
232,130.0,110.0,1.1611,0.32252
233,140.0,110.0,1.131,0.35404
234,150.0,110.0,1.0729,0.49903
235,160.0,110.0,1.0757,0.51502
236,170.0,110.0,1.0498,0.63136
237,180.0,110.0,1.0323,0.58269
238,190.0,110.0,1.0252,0.6729
239,200.0,110.0,1.0246,0.64124
240,10.0,120.0,1.5,0.0
241,20.0,120.0,1.5,0.0
242,30.0,120.0,1.5,0.0
243,40.0,120.0,1.5,0.0
244,50.0,120.0,1.5,0.0
245,60.0,120.0,1.3786,0.0035842
246,70.0,120.0,1.3445,0.0059172
247,80.0,120.0,1.3539,0.027933
248,90.0,120.0,1.3132,0.071721
249,100.0,120.0,1.2779,0.16901
250,110.0,120.0,1.1826,0.21673
251,120.0,120.0,1.1948,0.29921
252,130.0,120.0,1.205,0.27255
253,140.0,120.0,1.1134,0.41408
254,150.0,120.0,1.0938,0.45567
255,160.0,120.0,1.0967,0.46467
256,170.0,120.0,1.0574,0.54563
257,180.0,120.0,1.0379,0.60757
258,190.0,120.0,1.0195,0.67917
259,200.0,120.0,1.0155,0.66478
260,10.0,130.0,1.5,0.0
261,20.0,130.0,1.5,0.0
262,30.0,130.0,1.5,0.0
263,40.0,130.0,1.5,0.0
264,50.0,130.0,1.5,0.0
265,60.0,130.0,1.5,0.0
266,70.0,130.0,1.417,0.003937
267,80.0,130.0,1.3592,0.017682
268,90.0,130.0,1.281,0.084746
269,100.0,130.0,1.2929,0.098672
270,110.0,130.0,1.273,0.17166
271,120.0,130.0,1.1733,0.24059
272,130.0,130.0,1.1504,0.33333
273,140.0,130.0,1.1047,0.34068
274,150.0,130.0,1.0836,0.41188
275,160.0,130.0,1.0862,0.45984
276,170.0,130.0,1.0405,0.50573
277,180.0,130.0,1.0505,0.62325
278,190.0,130.0,1.0243,0.60264
279,200.0,130.0,1.0461,0.6163
280,10.0,140.0,1.5,0.0
281,20.0,140.0,1.5,0.0
282,30.0,140.0,1.5,0.0
283,40.0,140.0,1.5,0.0
284,50.0,140.0,1.5,0.0
285,60.0,140.0,1.398,0.0019646
286,70.0,140.0,1.4184,0.0019048
287,80.0,140.0,1.3775,0.0060976
288,90.0,140.0,1.3253,0.061475
289,100.0,140.0,1.2838,0.087719
290,110.0,140.0,1.2414,0.15631
291,120.0,140.0,1.2392,0.19112
292,130.0,140.0,1.1531,0.26489
293,140.0,140.0,1.1253,0.34426
294,150.0,140.0,1.1339,0.35926
295,160.0,140.0,1.0735,0.50104
296,170.0,140.0,1.0568,0.49375
297,180.0,140.0,1.038,0.60542
298,190.0,140.0,1.0141,0.59623
299,200.0,140.0,1.0262,0.6558
300,10.0,150.0,1.5,0.0
301,20.0,150.0,1.5,0.0
302,30.0,150.0,1.5,0.0
303,40.0,150.0,1.5,0.0
304,50.0,150.0,1.5,0.0
305,60.0,150.0,1.5,0.0
306,70.0,150.0,1.3727,0.004
307,80.0,150.0,1.3953,0.0375
308,90.0,150.0,1.3864,0.022869
309,100.0,150.0,1.2918,0.097656
310,110.0,150.0,1.2189,0.13525
311,120.0,150.0,1.2209,0.15052
312,130.0,150.0,1.1985,0.22934
313,140.0,150.0,1.1479,0.27944
314,150.0,150.0,1.1361,0.35669
315,160.0,150.0,1.0887,0.48733
316,170.0,150.0,1.0422,0.52734
317,180.0,150.0,1.0383,0.54618
318,190.0,150.0,1.045,0.59357
319,200.0,150.0,1.0188,0.60852
320,10.0,160.0,1.5,0.0
321,20.0,160.0,1.5,0.0
322,30.0,160.0,1.5,0.0
323,40.0,160.0,1.5,0.0
324,50.0,160.0,1.5,0.0
325,60.0,160.0,1.5,0.0
326,70.0,160.0,1.5,0.0
327,80.0,160.0,1.3964,0.014787
328,90.0,160.0,1.3507,0.054108
329,100.0,160.0,1.2923,0.053743
330,110.0,160.0,1.2507,0.098814
331,120.0,160.0,1.2364,0.16109
332,130.0,160.0,1.1818,0.21881
333,140.0,160.0,1.1714,0.26168
334,150.0,160.0,1.1042,0.38986
335,160.0,160.0,1.076,0.51235
336,170.0,160.0,1.063,0.51797
337,180.0,160.0,1.054,0.49393
338,190.0,160.0,1.0362,0.63017
339,200.0,160.0,1.0135,0.60288
340,10.0,170.0,1.5,0.0
341,20.0,170.0,1.5,0.0
342,30.0,170.0,1.5,0.0
343,40.0,170.0,1.5,0.0
344,50.0,170.0,1.5,0.0
345,60.0,170.0,1.5,0.0
346,70.0,170.0,1.3574,0.0020121
347,80.0,170.0,1.3719,0.0057692
348,90.0,170.0,1.3011,0.036538
349,100.0,170.0,1.308,0.054581
350,110.0,170.0,1.2302,0.096712
351,120.0,170.0,1.2136,0.21402
352,130.0,170.0,1.2053,0.19461
353,140.0,170.0,1.1572,0.30285
354,150.0,170.0,1.1225,0.3215
355,160.0,170.0,1.085,0.37037
356,170.0,170.0,1.0564,0.46813
357,180.0,170.0,1.0626,0.54545
358,190.0,170.0,1.0425,0.58594
359,200.0,170.0,1.0361,0.52896
360,10.0,180.0,1.5,0.0
361,20.0,180.0,1.5,0.0
362,30.0,180.0,1.5,0.0
363,40.0,180.0,1.5,0.0
364,50.0,180.0,1.5,0.0
365,60.0,180.0,1.5,0.0
366,70.0,180.0,1.5,0.0
367,80.0,180.0,1.3151,0.0020619
368,90.0,180.0,1.331,0.037975
369,100.0,180.0,1.2959,0.045082
370,110.0,180.0,1.2349,0.071429
371,120.0,180.0,1.2933,0.07551
372,130.0,180.0,1.2187,0.15205
373,140.0,180.0,1.1482,0.29638
374,150.0,180.0,1.1794,0.28543
375,160.0,180.0,1.1047,0.36082
376,170.0,180.0,1.0621,0.47544
377,180.0,180.0,1.0603,0.51497
378,190.0,180.0,1.034,0.56855
379,200.0,180.0,1.023,0.61024
380,10.0,190.0,1.5,0.0
381,20.0,190.0,1.5,0.0
382,30.0,190.0,1.5,0.0
383,40.0,190.0,1.5,0.0
384,50.0,190.0,1.5,0.0
385,60.0,190.0,1.5,0.0
386,70.0,190.0,1.5,0.0
387,80.0,190.0,1.4364,0.0020619
388,90.0,190.0,1.3735,0.011788
389,100.0,190.0,1.3547,0.020747
390,110.0,190.0,1.2424,0.056452
391,120.0,190.0,1.2549,0.11111
392,130.0,190.0,1.2411,0.1498
393,140.0,190.0,1.2199,0.19124
394,150.0,190.0,1.1505,0.30485
395,160.0,190.0,1.1125,0.342
396,170.0,190.0,1.0773,0.43061
397,180.0,190.0,1.0506,0.47419
398,190.0,190.0,1.0315,0.52273
399,200.0,190.0,1.0248,0.53747
400,10.0,200.0,1.5,0.0
401,20.0,200.0,1.5,0.0
402,30.0,200.0,1.5,0.0
403,40.0,200.0,1.5,0.0
404,50.0,200.0,1.5,0.0
405,60.0,200.0,1.5,0.0
406,70.0,200.0,1.5,0.0
407,80.0,200.0,1.5,0.0
408,90.0,200.0,1.3746,0.0059406
409,100.0,200.0,1.314,0.0039683
410,110.0,200.0,1.3204,0.054767
411,120.0,200.0,1.2692,0.104
412,130.0,200.0,1.246,0.15543
413,140.0,200.0,1.203,0.23214
414,150.0,200.0,1.1534,0.29508
415,160.0,200.0,1.0769,0.39876
416,170.0,200.0,1.0773,0.41129
417,180.0,200.0,1.0197,0.53425
418,190.0,200.0,1.0458,0.56107
419,200.0,200.0,1.0307,0.53939
